,model_id,mdm_thrpt,read_bw,write_bw
0,XGBRegressor,0.9763090815244678,0.944353785323256,0.9724674687812774
1,LassoRegression,0.6300921627058402,0.3320880872684596,0.0
2,RidgeRegression,0.0,0.0,0.0
3,"['Stacked', 0.9970960795088106, 0.9751399416085462, 0.9953780708099669]",,,
