,random_write_bw_large,random_read_bw_large,sequential_write_bw_large,sequential_read_bw_large,mixed-sequential_write_bw_large,mixed-sequential_read_bw_large,mixed-random_write_bw_large,mixed-random_read_bw_large,sensitivity2concurrency,sensitivity2randomness,sequentiality
4,1.5488075356763067,1.2792279952918526,1.6796136540334046,1.3662485782275686,1.9772728438340752,1.9401193180200071,1.9785633538020302,1.9455921474446576,0.15191390050800055,0.7779176222357377,1.2220823777642622
0,0.3427519854951464,0.38737975958853543,0.4688919651144645,0.6013530337892432,0.0,0.0017241153710273183,0.0,0.009659313983613842,0.0,0.9118683705076468,1.088131629492353
1,1.265467602742863,1.0503479991142681,1.3085500170460342,1.166465635947509,1.4487883717810324,1.9596751992417996,1.4396846431795711,1.9562398396120442,0.2729594787555389,0.7643843087404056,1.2356156912595944
2,0.3992143793584555,0.3313510544781607,0.4955630541516427,0.44175405264065626,0.004688279005561399,0.0016635660812114785,0.0291813881628074,0.009829533133157455,1.9999999999999993,0.8526008637687102,1.1473991362312896
8,0.08538579717716344,0.07087087889363686,0.17361074820892242,0.15475982513377562,0.0037506232044491193,0.0003903889804397565,0.02334511053024592,0.0017713862716733607,1.9999999999999993,0.8526008637687102,1.1473991362312896
3,0.8153717213708378,0.6767649003577351,0.8286662038108463,0.7386883480376907,1.1606984640625293,1.5713287823871351,1.149887418588784,1.5571880294697782,1.9999999999999993,0.7433598333871577,1.2566401666128422
5,0.777157826061659,0.6450470686334299,0.8333296006251041,0.7428453860261188,1.1606984640625293,1.5713287823871351,1.1523683477630844,1.5606134476726266,0.27141976572986387,0.774770148225688,1.2252298517743119
6,1.3116967846005478,1.0887185813082834,1.3151538000214007,1.1723523699719443,1.4508730800781613,1.9653365578395805,1.4358137040751966,1.951966370231632,1.9999999999999993,0.7461481307428827,1.2538518692571172
9,0.2115196299932287,0.17556294578797005,1.0834166971504504,0.9657776395056139,1.3066896432395783,1.7695599734301504,1.295675284424675,1.758477294218541,1.9999999999999993,1.9760559383976597,0.023944061602340305
7,0.41103706628999137,0.3411639770182383,1.2456321092538816,1.1103794517212942,1.4467036634839037,1.9428855995572716,1.4281359740028223,1.9413657305120868,0.2190593912105103,1.8577289656609084,0.14227103433909138
