Features,Category,Mandatory
clients,Count,0
servers,Count,0
network(gb/s),Bandwidth,0
device,Discrete,0
storage,Discrete,0
config,Discrete,0
req_size(bytes),Size,0
mdm_reqs_per_proc,MD,0
io_type,Discrete,0
total_size_per_proc(bytes),Size,0
