,random_write_bw_large,random_read_bw_large,sequential_write_bw_large,sequential_read_bw_large,mixed-sequential_write_bw_large,mixed-sequential_read_bw_large,mixed-random_write_bw_large,mixed-random_read_bw_large,sensitivity2concurrency,sensitivity2randomness,sequentiality,SMALL_IO_HEAVINESS,MEDIUM_IO_HEAVINESS,LARGE_IO_HEAVINESS,READ_HEAVINESS,WRITE_HEAVINESS,SEQUENTIALITY,SCALE
167,0.3675976585832038,0.3174129661148074,0.7875584322186263,0.7304197028563806,0.7317630335770544,0.9912790853930888,0.7241362374683824,0.9783082345835991,0.9999999999999997,0.992441277256797,0.007558722743202961,,,,,,0.0006871566130184511,
170,0.3519818420738263,0.3039290319253185,0.7725937912022054,0.7165407724844786,0.7233518317419518,0.9798848934490116,0.7179068520375983,0.9698923333373957,0.9999999999999998,1.0,0.0,,,,,,0.0,
175,0.39009437343208697,0.3368384135334469,0.7984478005513604,0.7405190286416212,0.7212792163779344,0.9770772355486503,0.7163662944499691,0.9678110396583265,0.9999999999999998,0.9692763045320152,0.030723695467984757,,,,,,0.0027930632243622507,
303,0.3866849838728945,0.3338944762494198,0.7823884294218706,0.7256247927238906,0.7275331523172408,0.9855490981784396,0.7155985214427317,0.9667737781370729,0.3880981811359609,0.9550875151919593,0.04491248480804072,,,,,,0.004082953164367339,
312,0.39126269262931546,0.33784723296714636,0.757764992608574,0.702787828932132,0.7233518317419518,0.9798848934490116,0.7140679870014112,0.9647060257311271,0.406672363555109,0.9181413082519563,0.08185869174804378,,,,,,0.007441699249822162,
