,random_write_bw_large,random_read_bw_large,sequential_write_bw_large,sequential_read_bw_large,mixed-sequential_write_bw_large,mixed-sequential_read_bw_large,mixed-random_write_bw_large,mixed-random_read_bw_large,sensitivity2concurrency,sensitivity2randomness,sequentiality,SMALL_IO_HEAVINESS,MEDIUM_IO_HEAVINESS,LARGE_IO_HEAVINESS,READ_HEAVINESS,WRITE_HEAVINESS,SEQUENTIALITY,SCALE
184,0.9999999999999999,0.8634792923822788,0.9257221622917415,0.858559414828278,0.7212792163779344,0.9770772355486503,0.7186796366179901,0.9709363654952111,0.1911894424323614,0.5636043791470927,0.4363956208529073,,,,,,0.03967232916844612,
280,0.7857508063552742,0.7515869823095571,0.9187770757350044,1.0,1.0,0.9798848934490116,1.0,0.9772479528980355,0.15779057461917192,0.7061654408068013,0.2938345591931987,,,,,,0.026712232653927154,
288,0.7124835742444153,0.6152148125225644,0.7662970953693714,0.7107009128486175,0.7275331523172408,0.9855490981784396,0.7280843547993331,0.9836421420669128,0.4081250762675077,0.6098484368650048,0.39015156313499516,,,,,,0.0354683239213632,
289,0.7131788316808028,0.6158151529217598,0.7414539134603859,0.6876601468487546,0.7275331523172408,0.9855490981784396,0.7233514251124203,0.9772479528980355,0.4032802835824137,0.5896393163287036,0.4103606836712964,,,,,,0.03730551669739059,
290,0.7546147413690122,0.6515942028985507,0.7944744096847656,0.7368339141696264,0.7233518317419518,0.9798848934490116,0.7202302173519278,0.9730312004474035,0.3978845469184082,0.6050397872083881,0.39496021279161186,,,,,,0.03590547389014653,
291,0.7430940150519652,0.6416462942905772,0.7828658755843221,0.7260675993396808,0.7296418575285122,0.9884056450075062,0.7233514251124203,0.9772479528980355,0.394212693208101,0.6033049083568987,0.39669509164310135,,,,,,0.03606319014937285,
292,0.7349874566957354,0.6346464490174841,0.7629130208957609,0.7075623588438115,0.7233518317419518,0.9798848934490116,0.7186796366179901,0.9709363654952111,0.40365575996587116,0.5929007868629544,0.40709921313704556,,,,,,0.037009019376095055,
293,0.7094277864054475,0.612576203001702,0.781713212673299,0.7249985641208065,0.7296418575285122,0.9884056450075062,0.7257103725961453,0.9804348915276315,0.403208704777424,0.6241548096710263,0.3758451903289736,,,,,,0.03416774457536124,
294,0.7050244893083264,0.6087740471401311,0.8073914259459027,0.7488137785114657,0.7254365400390806,0.9827089329799339,0.7280843547993331,0.9836421420669128,0.3975753484100479,0.6477144300784384,0.35228556992156157,,,,,,0.032025960901960145,
295,0.8120726317046948,0.7012079013873846,0.8223101202604977,0.7626500956944003,0.7233518317419518,0.9798848934490116,0.7249225532962907,0.9793705474601311,0.39383291764337514,0.5914934785195872,0.4085065214804127,,,,,,0.03713695649821934,
296,0.6240019113606499,0.5388127288668834,0.7888569259658796,0.7316239886315423,0.7212792163779344,0.9770772355486503,0.7179068520375983,0.9698923333373957,0.4063243762657781,0.6933434666394365,0.3066565333605636,,,,,,0.027877866669142146,
297,0.7141512364114204,0.6166548042704627,0.7989951656078947,0.7410266814145355,0.7254365400390806,0.9827089329799339,0.7140679870014112,0.9647060257311271,0.4071076615904958,0.6347399298116254,0.36526007018837464,,,,,,0.033205460926215874,
298,0.7192569585473659,0.6210634896075095,0.7839286427743817,0.7270532609279671,0.7212792163779344,0.9770772355486503,0.7140679870014112,0.9647060257311271,0.39733100474129013,0.6193981344422209,0.3806018655577791,,,,,,0.03460016959616174,
299,0.714700752598256,0.617129300118624,0.7860701586160054,0.7290394060833106,0.7212792163779344,0.9770772355486503,0.7186796366179901,0.9709363654952111,0.39477911358977524,0.624106265912025,0.375893734087975,,,,,,0.034172157644361364,
300,0.6970350017919006,0.6018752901129507,0.762891046386192,0.7075419786230012,0.7233518317419518,0.9798848934490116,0.7110259620967563,0.9605962493381702,0.40564945789811446,0.6173263829988731,0.38267361700112684,,,,,,0.034788510636466076,
301,0.6955584756898817,0.6006003403991955,0.7565963482360462,0.7017039717344864,0.7275331523172408,0.9855490981784396,0.7155985214427317,0.9667737781370729,0.4034652259326068,0.6132162997211597,0.38678370027884035,,,,,,0.03516215457080367,
302,0.7484840520845777,0.6463004796534119,0.843383674937073,0.7821947274516017,0.7254365400390806,0.9827089329799339,0.7217878142882815,0.9751355142907825,0.4011882747657992,0.6463380982287806,0.35366190177121937,,,,,,0.03215108197920176,
304,0.7068044439135108,0.6103110010830883,0.7368492548643573,0.6833895642152966,0.7212792163779344,0.9770772355486503,0.7249225532962907,0.9793705474601311,0.40293165822740074,0.5899923679971447,0.4100076320028553,,,,,,0.037273421091168664,
305,0.7459084936088879,0.6440765382433339,0.7907347476926765,0.7333655711371607,0.7233518317419518,0.9798848934490116,0.7194544258276434,0.9719831059076511,0.40553647977158114,0.6075998484764383,0.39240015152356167,,,,,,0.03567274104759652,
306,0.7444415243101183,0.6428098406312859,0.8200906947940388,0.7605916933925471,0.7233518317419518,0.9798848934490116,0.7217878142882815,0.9751355142907825,0.3988710269889666,0.6311119263910564,0.36888807360894366,,,,,,0.03353527941899488,
307,0.7263409389559193,0.627180359997937,0.7602780774301809,0.7051185850939065,0.7212792163779344,0.9770772355486503,0.7217878142882815,0.9751355142907825,0.39457825068148705,0.5962313929814914,0.40376860701850864,,,,,,0.03670623700168261,
308,0.7243865726914347,0.6254928051988241,0.7679991210196171,0.7122794535877526,0.7254365400390806,0.9827089329799339,0.729676030433136,0.9857924962389113,0.4019581312786368,0.6035281982851787,0.39647180171482127,,,,,,0.036042891064983755,
309,0.7204945645681521,0.6221321367785858,0.7452275360581725,0.6911599865861092,0.7275331523172408,0.9855490981784396,0.7280843547993331,0.9836421420669128,0.405655708824466,0.5880476691623883,0.41195233083761174,,,,,,0.03745021189432834,
310,0.738150758571258,0.637377894682552,0.7875404530744335,0.7304030281302629,0.7317630335770544,0.9912790853930888,0.7225686173857201,0.9761903794670966,0.3936530216254673,0.6100269057151798,0.3899730942848202,,,,,,0.0354520994804382,
311,0.7464197825827261,0.6445180256846667,0.7708198489751886,0.714895532840873,0.7212792163779344,0.9770772355486503,0.714832753064756,0.9657392248704438,0.39209382240187063,0.5919850457187816,0.40801495428121837,,,,,,0.037092268571019854,
313,0.6852873013976826,0.5917313940894322,0.7729473810379959,0.7168687087647918,0.7296418575285122,0.9884056450075062,0.7304743740366146,0.9868710586431915,0.40922303365891183,0.63354875722329,0.36645124277671,,,,,,0.03331374934333727,
314,0.7396057818659659,0.6386342771674662,0.8254384913500338,0.7655514980388668,0.7233518317419518,0.9798848934490116,0.7155985214427317,0.9667737781370729,0.4068073033187767,0.6384167218635433,0.3615832781364568,,,,,,0.03287120710331425,
315,0.8032134750925813,0.6935582031048533,0.7730912141915378,0.7170021065737329,0.7192185049949482,0.9742857033158725,0.732076072816726,0.9890349540883134,0.3975779517609854,0.5608880785256453,0.43911192147435474,,,,,,0.0399192655885777,
316,0.6672297216581055,0.5761390479137656,0.7271944544328578,0.6744352362901328,0.7233518317419518,0.9798848934490116,0.7163662944499691,0.9678110396583265,0.39647828298759064,0.6081301832669808,0.3918698167330192,,,,,,0.035624528793910835,
317,0.7104933699677457,0.6134963123420496,0.7534340165408125,0.6987710726851312,0.7254365400390806,0.9827089329799339,0.7241362374683824,0.9783082345835991,0.4048345630095715,0.6008891344421264,0.3991108655578735,,,,,,0.03628280595980669,
318,0.7373503762991279,0.636686781164578,0.8118682328498941,0.752965785314754,0.7296418575285122,0.9884056450075062,0.7194544258276434,0.9719831059076511,0.3959933372544957,0.6293949664671783,0.37060503353282165,,,,,,0.033691366684801966,
319,0.7170756182057102,0.6191799473928516,0.7526269527348275,0.6980225627571844,0.7254365400390806,0.9827089329799339,0.7163662944499691,0.9678110396583265,0.3906226307431733,0.5960450849067715,0.4039549150932284,,,,,,0.0367231740993844,
320,0.6962155059132721,0.6011676723915623,0.7654480802269367,0.7099134952263964,0.7338963025587081,0.9941689074092324,0.7186796366179901,0.9709363654952111,0.40744505681777504,0.6199473931187539,0.38005260688124604,,,,,,0.03455023698920419,
321,0.7102711742921993,0.6133044509773584,0.8046585960286068,0.746279220141587,0.7212792163779344,0.9770772355486503,0.7210080135054737,0.9740820032417807,0.40626581904499,0.6418951695809574,0.3581048304190426,,,,,,0.03255498458354933,
322,0.745996894038944,0.6441528701841251,0.802734827599984,0.7444950244470012,0.7275331523172408,0.9855490981784396,0.7194544258276434,0.9719831059076511,0.39744576333830606,0.6167644584839528,0.3832355415160472,,,,,,0.03483959468327702,
323,0.7949157806713655,0.6863933157976173,0.7787206840065524,0.7222231485958954,0.7212792163779344,0.9770772355486503,0.714832753064756,0.9657392248704438,0.3933363383578536,0.569575335775816,0.430424664224184,,,,,,0.039129514929471275,
324,0.7048094612352169,0.6085883748517201,0.7521115506013024,0.6975445539418126,0.7275331523172408,0.9855490981784396,0.7117842131150006,0.9616206466499567,0.4044078299581187,0.60350695434825,0.39649304565175,,,,,,0.03604482233197727,
325,0.7068020547126986,0.6103089380576616,0.7614327380238923,0.7061894730601271,0.7254365400390806,0.9827089329799339,0.7217878142882815,0.9751355142907825,0.40312369015428234,0.6096778342306365,0.39032216576936357,,,,,,0.03548383325176033,
326,0.7158881854019831,0.6181546237557378,0.8208138559271245,0.7612623879319449,0.7254365400390806,0.9827089329799339,0.7102697157077739,0.9595745602810084,0.3939494605754151,0.6508675516316341,0.3491324483683658,,,,,,0.03173931348803326,
327,0.7797539123163303,0.6733013564392182,0.7714451236565584,0.7154754427602971,0.7212792163779344,0.9770772355486503,0.7217878142882815,0.9751355142907825,0.3890024636928983,0.5727808407584802,0.42721915924151976,,,,,,0.03883810538559271,
328,0.9311456217895114,0.8040249626076642,0.9310919333573053,0.8635395996954083,0.7317630335770544,0.9912790853930888,0.7217878142882815,0.9751355142907825,0.1648863190045791,0.6006764540633359,0.399323545936664,,,,,,0.03630214053969673,
329,0.6934392545693466,0.5987704368456342,0.7772164289424267,0.7208280298440543,0.7275331523172408,0.9855490981784396,0.7265001965252615,0.9815019438497568,0.4070821040866404,0.6313845543914539,0.3686154456085461,,,,,,0.03351049505532237,
330,0.7568462549277266,0.6535210686471712,0.8105937112948979,0.7517837325077491,0.7171693196888337,0.971509784824723,0.7249225532962907,0.9793705474601311,0.39343291452233603,0.6159104966288911,0.38408950337110886,,,,,,0.03491722757919172,
331,0.7047353960100348,0.6085244210634897,0.7945742938191697,0.7369265515369465,0.7360422313297124,0.9970758789448695,0.713305225567328,0.9636755348464351,0.3942381693471901,0.63763064451497,0.36236935548503,,,,,,0.032942668680457275,
332,0.6560148130450365,0.5664552065604209,0.7855747333093611,0.7285799247414028,0.7212792163779344,0.9770772355486503,0.7249225532962907,0.9793705474601311,0.40629767686708246,0.6653283429159074,0.33467165708409263,,,,,,0.030424696098553878,
333,0.700188746864174,0.6045984836763114,0.7538615206360622,0.6991675606172613,0.7254365400390806,0.9827089329799339,0.7140679870014112,0.9647060257311271,0.41081837746952304,0.6079370610675197,0.3920629389324803,,,,,,0.03564208535749821,
334,0.7143925456934656,0.6168631698385684,0.8054376922769587,0.747001791606684,0.7233518317419518,0.9798848934490116,0.7179068520375983,0.9698923333373957,0.39672999962145894,0.6396933987638567,0.36030660123614333,,,,,,0.03275514556692212,
335,0.7440640305817704,0.6424838826138533,0.8055535578728674,0.7471092509527754,0.7212792163779344,0.9770772355486503,0.7171360720864683,0.9688510094342049,0.39426377974178517,0.6201665272755487,0.37983347272445134,,,,,,0.03453031570222285,
424,0.9901128044097821,1.0,0.9721637186577855,0.9665060334717335,0.9886364219170376,0.9687499920011571,0.9892816769010151,0.9667737781370729,0.12086666351946221,0.5792819349465508,0.4207180650534493,,,,,,0.038247096823040845,
