,random_write_bw_large,random_read_bw_large,sequential_write_bw_large,sequential_read_bw_large,mixed-sequential_write_bw_large,mixed-sequential_read_bw_large,mixed-random_write_bw_large,mixed-random_read_bw_large,sensitivity2concurrency,sensitivity2randomness,sequentiality,SMALL_IO_HEAVINESS,MEDIUM_IO_HEAVINESS,LARGE_IO_HEAVINESS,READ_HEAVINESS,WRITE_HEAVINESS,SEQUENTIALITY,SCALE
0,0.40354079560387046,0.3484491206354119,0.5557113748052259,0.5153935513275861,0.0023246774385548077,0.0031491125123662114,0.014600216070396852,0.01972489549522467,0.9999999999999997,0.6601408076056088,0.3398591923943913,,,,,,0.030896290217671936,
1,0.38814478556922705,0.33515498478518746,0.5498022294138799,0.5099131246769272,0.002369459081482345,0.0032097757380372505,0.014542081821807076,0.01964635611110885,0.9999999999999998,0.6695600868471623,0.33043991315283777,,,,,,0.030039992104803435,
2,0.39473897981125317,0.3408489349631235,0.5370450277677893,0.4980814801228001,0.00234602902357933,0.003178036328825399,0.014522536686505336,0.01961995062851819,1.0,0.6470487184795124,0.3529512815204876,,,,,,0.032086480138226146,
3,0.38533986381555374,0.33273299293413794,0.5169103839546126,0.47940763961840815,0.0023214652531971364,0.003144761141748458,0.01452003089992819,0.01961656531023734,0.9999999999999997,0.6324036578878247,0.36759634211217534,,,,,,0.03341784928292503,
4,0.3788221239995221,0.32710505956985925,0.49718726277518077,0.46111546506737516,0.0023609562378885092,0.0031982574040490784,0.014628782037376314,0.019763488123626407,0.9999999999999998,0.6148554713821979,0.38514452861780213,,,,,,0.03501313896525474,
5,0.39437104288615454,0.3405312290473981,0.5075432498301968,0.47072010731112623,0.002338659892464672,0.0031680537727023167,0.014616754261806015,0.019747238595878305,0.9999999999999997,0.6118681697309513,0.3881318302690487,,,,,,0.035284711842640794,
6,0.3751738143590968,0.3239548197431533,0.5213911862239802,0.4835633519163892,0.002360578333728783,0.003197745478094049,0.014438342257513243,0.019506203934281492,0.9999999999999997,0.6487167272827221,0.35128327271727794,,,,,,0.031934842974297994,
7,0.42385139170947317,0.36598689978853993,0.4968456590355188,0.46079864527114034,0.0023207094448776844,0.0031437372898383983,0.014617255419121445,0.019747915659534477,0.9999999999999998,0.5716963809802349,0.4283036190197651,,,,,,0.038936692638160464,
8,0.45881256719627295,0.39617515085873434,0.5083243437612369,0.47144453152356974,0.0023832525833123457,0.0032284610353958405,0.014564633901001385,0.01967682397563654,0.9999999999999997,0.5549361948479504,0.4450638051520495,,,,,,0.040460345922913594,
9,0.3870361963923068,0.3341977409871577,0.5151604139198529,0.4777846329429594,0.0023573661483711115,0.003193394107476295,0.014641812127577472,0.01978109177868685,0.9999999999999997,0.6285116746666042,0.3714883253333959,,,,,,0.03377166593939963,
10,0.3740915063911122,0.3230202692248183,0.5837108953613808,0.5413616581347651,0.002320142588638095,0.0031429694009058535,0.014608735744759148,0.019736405577379573,0.9999999999999998,0.7275703638929659,0.2724296361070341,,,,,,0.02476633055518492,
11,0.3749038346673038,0.32372169786992633,0.5002357265571935,0.4639427575179855,0.0023454621673397406,0.0031772684398928544,0.01451702395603562,0.019612502928300312,0.9999999999999998,0.6226758142369468,0.3773241857630531,,,,,,0.034302198705732104,
12,0.38215266993190766,0.32998091701480226,0.46812897039434254,0.43416540216660277,0.0023966681809826206,0.003246634406799401,0.014574657047309968,0.019690365248759955,0.9999999999999998,0.5757367039208334,0.4242632960791665,,,,,,0.0385693905526515,
13,0.34779596225062726,0.3003146113775853,0.5208378281193815,0.48305014090143567,0.002346406927739056,0.0031785482547804287,0.01461374731791344,0.019743176213941283,0.9999999999999998,0.6790809338938276,0.3209190661061724,,,,,,0.02917446055510658,
14,0.3650555489188867,0.3152179070607045,0.4987534460026368,0.46256801898695477,0.002244372804613022,0.0030403282469223655,0.013958233549332138,0.01885757695166984,0.9999999999999998,0.6312183068923329,0.36878169310766706,,,,,,0.03352560846433337,
15,0.3842312746386335,0.3317757491361082,0.5406148867313916,0.5013923396308215,0.0021899546056124704,0.002966610909398065,0.013928665267721817,0.01881763019595576,0.9999999999999997,0.6626108681650795,0.3373891318349205,,,,,,0.030671739257720043,
16,0.37275355393620835,0.3218649749858168,0.5105337808142555,0.47349367008869103,0.0023433836944612477,0.00317445284714019,0.014599714913081424,0.019724218431568498,0.9999999999999997,0.6377860995097344,0.3622139004902656,,,,,,0.03292853640820596,
17,0.4156444869191256,0.35890040744752183,0.5256023013304566,0.4874689433226059,0.002370592793961523,0.00321131151590234,0.014546091080330507,0.01965177262035822,0.9999999999999997,0.6125504570272344,0.38744954297276557,,,,,,0.03522268572479687,
18,0.386419782582726,0.33366548042704636,0.5171780734348156,0.4796559077628261,0.0021644460748309617,0.002932055907433549,0.013984794887049882,0.018893461325446895,0.9999999999999998,0.6316109281459286,0.3683890718540715,,,,,,0.03348991562309741,
19,0.3523354437940509,0.3042343596884832,0.5184945463262615,0.4808768682641054,0.0023401715091035764,0.003170101476522436,0.01455511191200823,0.019663959766169293,0.9999999999999997,0.6706967950727787,0.32930320492722137,,,,,,0.02993665499338376,
20,0.3714801099032372,0.3207653824333385,0.5331155859203324,0.4944371260924261,0.0022995468119330256,0.0031150694363567258,0.0145906940814037,0.019712031285757423,0.9999999999999997,0.6674218359198957,0.3325781640801044,,,,,,0.030234378552736762,
21,0.3821216103213475,0.3299540976842541,0.5129050301650084,0.4756928811888709,0.0023656800398850846,0.003204656478486952,0.014625775093483739,0.01975942574168938,0.9999999999999997,0.6308376827932493,0.3691623172067507,,,,,,0.033560210655159156,
