NPROCS,TOTAL_BYTES_READ,TOTAL_BYTES_WRITTEN,TOTAL_MPIIO_COLL_OPENS,TOTAL_MPIIO_COLL_READS,TOTAL_MPIIO_COLL_WRITES,TOTAL_POSIX_MAX_BYTE_WRITTEN,TOTAL_POSIX_OPENS,TOTAL_POSIX_READS,TOTAL_POSIX_SEQ_WRITES,TOTAL_POSIX_SIZE_READ_100K_1M,TOTAL_POSIX_WRITES,TOTAL_STDIO_WRITES,TOTAL_IO,TOTAL_IO_PER_PROC,TOTAL_READ_OPS,TOTAL_WRITE_OPS,TOTAL_SIZE_IO_0_100,TOTAL_SIZE_IO_1K_10K,TOTAL_SIZE_IO_0_1M,TOTAL_READ_TIME,TOTAL_WRITE_TIME,TOTAL_MD_TIME
2516.0579475318973,74418.01646842249,39963.95074900386,1060.8250909537985,1138.1750479750478,1611.3653151512942,36339.078445309206,1060.8277626453591,3804.3064376816287,3902.968646520076,408.76250863931494,3902.9689237121734,2326.831531923016,766.213927387763,38.82999594778725,3804.3064376816287,3902.9689237121734,3902.9739565078794,3804.194750812655,3902.9933336157037,2171.083899856341,1343.7761026785438,1673.573138148681
49112.028769251854,5538190011.127337,1597197287.370304,1127471.5237790425,1297718.7899289527,2599720.9095029323,1320601300.4112267,1127477.197524449,14480356.08466125,15240970.193011798,167904.31348638466,15240972.357310385,5418798.641015056,588554.4684520105,1585.428576883322,14480356.08466125,15240972.357310385,15241011.653091785,14479506.091612184,15241162.948915854,4717947.46801513,1808421.7663352932,1681068.380055368
1048576.0000000012,578999999999998.1,88000000179176.95,1478623231.9999967,1829765119.9999957,5243076607.999976,65970699999999.7,1478634505.9999964,70740082687.99995,76445599039.99982,82558975.99999976,76445615487.99968,15954510154.99994,552177429.3090209,70650.60082823026,70740082687.99995,76445615487.99968,76445914123.99994,70733791231.99977,76447063929.99994,12934429024.696966,3025223906.669185,2080784963.5999959
