,NPROCS,TOTAL_BYTES_READ,TOTAL_BYTES_WRITTEN,TOTAL_MPIIO_COLL_OPENS,TOTAL_MPIIO_COLL_READS,TOTAL_MPIIO_COLL_WRITES,TOTAL_POSIX_MAX_BYTE_WRITTEN,TOTAL_POSIX_OPENS,TOTAL_POSIX_READS,TOTAL_POSIX_SEQ_WRITES,TOTAL_POSIX_SIZE_READ_100K_1M,TOTAL_POSIX_WRITES,TOTAL_STDIO_WRITES,TOTAL_IO,TOTAL_IO_PER_PROC,TOTAL_READ_OPS,TOTAL_WRITE_OPS,TOTAL_SIZE_IO_0_100,TOTAL_SIZE_IO_1K_10K,TOTAL_SIZE_IO_0_1M,TOTAL_READ_TIME,TOTAL_WRITE_TIME,TOTAL_MD_TIME,SMALL_READ,MEDIUM_READ,LARGE_READ,SMALL_WRITE,MEDIUM_WRITE,LARGE_WRITE,SMALL_IO,MEDIUM_IO,LARGE_IO,BYTES_READ,BYTES_WRITTEN,MD_HEAVINESS,READ_HEAVINESS,WRITE_HEAVINESS,SEQUENTIALITY,SCALE
4,0.6083490847283864,0.22645040212178733,0.7999761835295819,0.5744233859902449,0.0,0.615313145541994,0.7834589220993172,0.5744244579561021,0.027745555281161724,0.45936695051764875,0.0,0.45936375006005387,0.12303115175282595,0.5873475536241141,0.15136827533675346,0.04397566468232717,0.5534840245904995,0.5255483544563354,0.485047895570201,0.5425094388341508,0.0012486814223881622,0.6840590964828136,0.7171867497453477,,0.0,,,,,0.26454303031038623,0.24415648731800518,,0.11398737163638166,0.402680594416429,0.2891451605516785,0.021002943510580244,0.24716278439897227,0.2222741862546957,0.30622208022529035
12,0.8140677853938755,0.0,0.9910264451063392,0.5772830580383943,0.0,0.0,1.0,0.5774674924454886,0.0,0.4863975996930125,0.0,0.4863945511785918,0.12303115175282595,0.8920928970176557,0.5168987384277262,0.0,0.5140558498862776,0.11533875246659414,0.0,0.11533868324149919,0.0,0.7330571898612257,0.6883638306232442,,0.0,,,,,0.05805757516127359,0.0,,0.0,0.4988487485178543,0.2906041876496564,0.0,0.2122067175424619,0.22373205298981247,0.40977382385478217
17,0.5380693152566404,0.5828841359364444,0.6872878350409378,0.49242457428217734,0.13284348978554916,0.0,0.6391164722682738,0.4924937201620839,0.1399595158986271,0.22143297535762857,0.0,0.22143297345644317,0.12303115175282595,0.4125682219026969,0.019749700197411728,0.15578324236758143,0.25031586996383703,0.1758477950324088,0.0,0.17584768949042878,0.08439087434777838,0.13501053184232384,0.4131671808034115,,0.0,,,,,0.08851575345411554,0.0,,0.293403897725056,0.34595714178437337,0.24787703297337157,0.07764821515325963,0.10330923851532357,0.10524845685936596,0.2708456528653303
18,0.5380693152566404,0.5828841359364444,0.7163139396006468,0.49242457428217734,0.13284348978554916,0.0,0.6391164722682738,0.4924937201620839,0.1399595158986271,0.2588876334393078,0.0,0.2588876312165432,0.12303115175282595,0.45591415639573846,0.04155913347530755,0.15578324236758143,0.28703027100600564,0.20677632509031693,0.0,0.2067762009853615,0.08439448638237024,0.19071106103552757,0.4131879202712152,,0.0,,,,,0.10408411551858979,0.0,,0.293403897725056,0.36056788805200257,0.24787703297337157,0.07764821515325963,0.11856765597937194,0.12247676463048664,0.2708456528653303
19,0.5380693152566404,0.5828841359364444,0.7163139396006468,0.49242457428217734,0.13284348978554916,0.0,0.6391164722682738,0.4924937201620839,0.1399595158986271,0.2588876334393078,0.0,0.2588876312165432,0.12303115175282595,0.45591415639573846,0.04155913347530755,0.15578324236758143,0.28703027100600564,0.20677632509031693,0.0,0.2067762009853615,0.08439147637463926,0.19768443421643128,0.4145583852389837,,0.0,,,,,0.10408411551858979,0.0,,0.293403897725056,0.36056788805200257,0.24787703297337157,0.07764821515325963,0.11856765597937194,0.12247676463048664,0.2708456528653303
20,0.5380693152566404,0.5828841359364444,0.7126767401540808,0.49242457428217734,0.13284348978554916,0.0,0.6391164722682738,0.4924937201620839,0.1399595158986271,0.2537063663191709,0.0,0.2537063641408917,0.12303115175282595,0.4503567154326615,0.03796865641072068,0.15578324236758143,0.28191550707611684,0.19886817983250818,0.0,0.1988680604739376,0.08438605782907534,0.17539532527355267,0.41392184643546126,,0.0,,,,,0.10010342621969627,0.0,,0.293403897725056,0.35873704650283017,0.24787703297337157,0.07764821515325963,0.11644834042521625,0.1200934972570282,0.2708456528653303
21,0.5380693152566404,0.5828841359364444,0.7163139396006468,0.0,0.0,0.0,0.6356671361003116,0.4924706235348997,0.11340892622160567,0.4749191502031362,0.0,0.47491914612556213,0.12303115175282595,0.45591415639573846,0.04155913347530755,0.11340892622160567,0.47492374586242914,0.11533875246659414,0.0,0.47491905763762104,0.05315517322175977,0.43129077805811256,0.4381419085546866,,0.0,,,,,0.05805757516127359,0.0,,0.293403897725056,0.36056788805200257,0.05255043381775081,0.05517010180096593,0.20088965558157482,0.21845222210427614,0.2708456528653303
22,0.5380693152566404,0.5828841359364444,0.7163139396006468,0.49242457428217734,0.13284348978554916,0.0,0.6391164722682738,0.4924937201620839,0.1399595158986271,0.2588876334393078,0.0,0.2588876312165432,0.12303115175282595,0.45591415639573846,0.04155913347530755,0.15578324236758143,0.28703027100600564,0.20677632509031693,0.0,0.2067762009853615,0.08440050576505961,0.19745731405403374,0.41368144662488826,,0.0,,,,,0.10408411551858979,0.0,,0.293403897725056,0.36056788805200257,0.24787703297337157,0.07764821515325963,0.11856765597937194,0.12247676463048664,0.2708456528653303
23,0.5380693152566404,0.5828841359364444,0.7163139396006468,0.49242457428217734,0.13284348978554916,0.0,0.6391164722682738,0.4924937201620839,0.1399595158986271,0.2588876334393078,0.0,0.2588876312165432,0.12303115175282595,0.45591415639573846,0.04155913347530755,0.15578324236758143,0.28703027100600564,0.20677632509031693,0.0,0.2067762009853615,0.08439087434777838,0.19078731876588,0.4138022000451883,,0.0,,,,,0.10408411551858979,0.0,,0.293403897725056,0.36056788805200257,0.24787703297337157,0.07764821515325963,0.11856765597937194,0.12247676463048664,0.2708456528653303
24,0.5380693152566404,0.5828841359364444,0.7126767401540808,0.49242457428217734,0.13284348978554916,0.0,0.6391164722682738,0.4924937201620839,0.1399595158986271,0.2537063663191709,0.0,0.2537063641408917,0.12303115175282595,0.4503567154326615,0.03796865641072068,0.15578324236758143,0.28191550707611684,0.19886817983250818,0.0,0.1988680604739376,0.08394547800309965,0.17550728665933432,0.41346187099030196,,0.0,,,,,0.10010342621969627,0.0,,0.293403897725056,0.35873704650283017,0.24787703297337157,0.07764821515325963,0.11644834042521625,0.1200934972570282,0.2708456528653303
