,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
TOTAL_POSIX_SIZE_READ_0_100,1536.0,640.0,38528.0,0.0,167.0,542.0,21233712.0,1.0,2.0,0.0,0.0,5619.0,128.0,0.0,306184206.0,579.0,0.0,7.0,120.0,0.0,3.0,0.0,1804.0,24576.0,24.0,704.0,3074.0,23.0,32768.0,1.0,3.0,40976.0,195.0,1030.0,0.0,13824.0,512.0,1.0,6.5,4.0,1.0,262156.0,565248.0,16384.0,65536.0,519.0,1.0,80.0,4067.0,2.0,2035.0,6.0,131072.0,0.0,196652.5
TOTAL_SIZE_IO_10K_100K,1.0,0.0,0.0,0.0,824.0,512.0,1299200.0,0.0,32.0,0.0,0.0,327720.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2146.0,0.0,0.0,0.0,0.0,460944.0,2.0,0.0,24352.0,0.0,16384.0,0.0,76.0,248.0,0.0,1.0,0.0,0.0,372775.0,0.0,2.0,0.0,512.0,28672.0,0.0,45679.0,34.0,23096.0,34.0,2.0,2.0,21976495.0
TOTAL_POSIX_SIZE_READ_4M_10M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13660.0,0.0,0.0,0.0,0.0,279.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1218.0,0.0,0.0,0.0,0.0,20480.0,0.0,27578.5,0.0,26237.5,0.0,0.0,40.0,414.0
TOTAL_STDIO_WRITES,17.0,0.0,17.0,1668.0,56474.0,20504602.0,1443357.0,159.0,17.0,140.0,17.0,17.0,562384.0,0.0,17.0,2844.0,1924.0,251.0,43093.0,0.0,0.0,92.0,0.0,0.0,808.0,0.0,0.0,11.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0,604559255.0,0.0,0.0,17.0,0.0,17.0,17.0,0.0,0.0,0.0,2295.0,0.0,0.0,0.0,1668.0,0.0,1517.0,0.0,0.0,99690962.0
TOTAL_POSIX_MAX_BYTE_READ,3362.0,13422.0,645887.0,0.0,2147556759.0,47943387.0,1378973.0,33554431.0,194512472.0,0.0,0.0,10416906999.0,1030.0,0.0,2113967.0,258573.0,0.0,469610367.0,303999999.0,1338251.0,4679.0,0.0,3861511.0,1836597059.0,8741547.0,10217.0,139630703.0,1734159.0,1258291199.0,80711.0,65536007.0,91675715.0,911910.0,3510313067.0,0.0,77677042501.0,10485759.0,34631.0,32773631.0,12496175.0,4861.0,5286249159.0,103514124.0,1472.0,541.0,28840123.0,1067450375.0,1085895.0,195297279.0,14179.0,168802479.0,14179.0,1473.0,264254279.0,1266393391.0
TOTAL_SIZE_IO_0_100,1553.0,640.0,38559.0,6.0,18205.0,20505163.0,21234261.0,197.0,144.0,32.0,17.0,979847.0,192.0,3631.0,306184223.0,2179.0,12.0,156.0,390.0,1919.0,3.0,0.0,2287440.0,88805.0,44.0,704.0,84419.0,151.0,33237.0,84.0,69970.0,131089.0,1069.0,131096.0,0.0,604586903.0,640.0,10.0,4378.0,4.0,21.0,2097230.0,690788.5,16415.0,65536.0,3079.0,1335307.0,101.0,4067.0,138.0,2035.0,206.0,131103.0,272.0,13613581.5
SMALL_READ,0.3197953913252752,0.2816793620141402,0.4602020303780545,0.0,0.22331863320787287,0.27444803518153904,0.7352961822041288,0.030209556819047925,0.04788101472159607,0.0,0.0,0.3763009464614124,0.21180606814396627,0.0,0.8516021088656236,0.2773209852485007,0.0,0.09062867045714378,0.20901579208966872,0.0,0.06041911363809585,0.0,0.3268004338733855,0.4406070267371851,0.14028883742448695,0.2858271009550453,0.3500191238405972,0.13850968517873985,0.45314468231845806,0.030209556819047925,0.06041911363809585,0.46288674232840105,0.23003700969636193,0.30239248636531385,0.0,0.4155322081404967,0.2719710517453591,0.030209556819047925,0.08771880924313841,0.07014441871224347,0.030209556819047925,0.5437741840254529,0.574693462554676,0.42293645549156184,0.48335357412621005,0.2725617330900323,0.030209556819047925,0.19152405888638427,0.36221572696244486,0.04788101472159607,0.3320490037368303,0.08480894802913305,0.5135627984358048,0.0,0.528681206100307
MEDIUM_READ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARGE_READ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14250437730903187,0.0,0.0,0.4445874437958037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5659002273581936,0.0,0.0,0.0,0.0,0.33486958032572933,0.0,0.1749848911294956,0.0,0.0,0.0,0.0,0.0,0.42228934647807287,0.0,0.0,0.0,0.0,0.5899661298052329,0.0,0.6076502354839838,0.0,0.6046880942423727,0.0,0.0,0.22069365620806675,0.31055028352303515
SMALL_WRITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDIUM_WRITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARGE_WRITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26192750418994565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL_IO,0.28858096779827586,0.2538048689952129,0.41469283256992495,0.07641640406397748,0.3852219034370791,0.6611615101401848,0.6625335837824488,0.20767163911034056,0.1954376448287033,0.13730877284312892,0.11350566019388382,0.5417392813097146,0.206667229796875,0.32191950536295616,0.7673290678640533,0.301873662327977,0.10072623681960595,0.1985601044816302,0.23439271790888522,0.2968863510228133,0.0544401446810789,0.0,0.5750322786453467,0.4474536078277227,0.14948863856570932,0.2575421550036564,0.44546457389919075,0.19728911123492063,0.4088603474701813,0.1744640849404661,0.4380926237955204,0.46274662236888797,0.2739263421041021,0.4627487192832561,0.0,0.794046923838584,0.2538048689952129,0.09416597891645673,0.32919568591681464,0.06320305071236496,0.12138605125699617,0.5716229984396087,0.5278371014938719,0.3811576376960161,0.435521756660725,0.3154456507144175,0.5538942053074386,0.1816239004953128,0.32637149726679,0.19377809098757143,0.2991900197828002,0.20941727153412842,0.4627508160856612,0.22028543481025564,0.6330834240717398
MEDIUM_IO,0.029007278401921077,0.0,0.0,0.0,0.281029773944524,0.26114716155870926,0.5891144217757681,0.0,0.14632414458924417,0.0,0.0,0.5314745049713892,0.0,0.0,0.0,0.0,0.0,0.0,0.06735281467763993,0.0,0.0,0.0,0.0,0.32105564592734104,0.0,0.0,0.0,0.0,0.5457497552576394,0.045975448515023616,0.0,0.42268860418826965,0.0,0.4061044517882496,0.0,0.18178242187134894,0.23087638200966787,0.0,0.029007278401921077,0.0,0.0,0.5368472593596605,0.0,0.045975448515023616,0.0,0.26114716155870926,0.42952252616004366,0.0,0.4490116402523454,0.1487865404747683,0.4204726198900419,0.1487865404747683,0.045975448515023616,0.045975448515023616,0.36823953846009305
LARGE_IO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BYTES_READ,0.41717467028070887,0.4004492130870257,0.6094293902757034,0.0,0.6282430690096719,0.7351419810569546,0.6903094803733352,0.5511862610799886,0.6272062088421493,0.12997508091471574,0.0,0.6521030938224166,0.47695017694496084,0.0,0.6880386035091188,0.5262292060990782,0.47465122875949406,0.6220630977468505,0.6413426790630407,0.42944105262136856,0.2543495891903754,0.11095388737460687,0.5221782762673932,0.6807990129527789,0.4447020922745484,0.39490135325663644,0.5975240673058895,0.4351934271059442,0.7742202887266681,0.34386336013395946,0.6167403764981192,0.6349695860273596,0.4554886320272892,0.6257081308594317,0.0,0.7266168827221939,0.4812717450517395,0.3139265049551784,0.4816715040696455,0.500384407179045,0.2325121916716946,0.6414610761907565,0.8107936770361523,0.4728317008757757,0.4836079724784931,0.5480067366166474,0.7258038730697424,0.4251457675255052,0.7284435777906577,0.2882087891094791,0.727265741603295,0.3140619108912817,0.5306903975898978,0.5429957769663152,0.6956206245431653
BYTES_WRITTEN,0.2925220548651371,0.0,0.3821999701922651,0.2859668490563752,0.6483323230663977,0.5598786048823062,0.7123974680151655,0.5540261012959946,0.6029775443293921,0.5133639521537376,0.13441914183209502,0.7176177575861266,0.4277359474194151,0.3427669348402062,0.13441914183209502,0.6517015920110197,0.5935130663191985,0.26116956676424335,0.6544003717998161,0.5496754905007522,0.0,0.25202415751587537,0.5660530275433794,0.631151523524605,0.4702852404858321,0.0,0.5441379127740138,0.5383075572831266,0.7669891805322744,0.14467637402594424,0.6328886847927913,0.664382129006519,0.47304531519418314,0.13441914183209502,0.0,0.687939432708444,0.0,0.42494942253722245,0.13441914183209502,0.0,0.13441914183209502,0.13441914183209502,0.33099052594837486,0.32502747225105066,0.0,0.33723113416473194,0.7761272418686421,0.1732706492589065,0.7064202848464496,0.3948310210685553,0.7026574737818909,0.3942901564472704,0.3437717625206515,0.5885431740943041,0.7283398230540414
MD_HEAVINESS,0.17818254175878198,0.132420163338385,0.24590030040845112,0.21223740219538606,0.365301650069445,0.18636179520773655,0.21801069677129012,0.2555650170317184,0.11736393464952179,0.10444331592577841,0.012727068538555413,0.49469408790302594,0.25339235184429904,0.11238569249435913,0.20374129539636307,0.23907296850588255,0.239683300352819,0.341361004144336,0.3154445078035626,0.21164538869691343,0.04316696805505693,0.0756385650942953,0.18557105419699016,0.3825301128100383,0.1612605911076519,0.19760601463050562,0.208178142645756,0.1160436909771591,0.3702955409811619,0.09409410733567972,0.18900412536094974,0.36930623738998053,0.1319118784873629,0.42473193204403764,0.018258929185952556,0.3665105218738478,0.19219063849804705,0.08260036082881511,0.3346803347517353,0.05897441629086583,0.06416677427797166,0.6678324132532992,0.3074537115375463,0.3686270351190168,0.26465462069083867,0.3337353858076858,0.3090566976725872,0.11221676382728135,0.2735344994453662,0.16882131894960895,0.24099474559331377,0.21017895042426327,0.440235399575892,0.11145389218223224,0.6550809593853939
READ_HEAVINESS,0.30235180584057647,0.2619351069386329,0.49771457224933285,0.0,0.39056338658866374,0.7440022769986702,0.6648333766729169,0.10668062148259225,0.2511008543959587,0.06340201399007793,0.0,0.5210142657832755,0.2670740639091755,0.0,0.7697604632099548,0.3848246048545226,0.1644453371212375,0.40928264777844653,0.3174016081366969,0.21524997066102156,0.069027923538555,0.026703645998461294,0.357627286464855,0.49884527621760977,0.17779852241829402,0.27167427275048595,0.4371421888026372,0.22761018112049877,0.5192087736566652,0.143066172149668,0.3205001441130813,0.4806657749340654,0.26469689260012597,0.4979015491577612,0.0,0.4210742246004699,0.2962521377698683,0.0957315695370163,0.37385809751074517,0.35574781390742405,0.06963003870026158,0.593195171099517,0.7758659311876533,0.40055586565531964,0.4539622758968056,0.41424617608952546,0.40915416542763794,0.18212364465848824,0.4495837638892852,0.19418906675440725,0.426724543783758,0.22516888962949969,0.4806657749340654,0.143066172149668,0.5822567506923126
WRITE_HEAVINESS,0.042983227407210924,0.0,0.06715002597125291,0.1094783509052011,0.35634094770078883,0.2320148865593734,0.19544523994223953,0.22278935510077255,0.13671987981939793,0.10692173122877872,0.039831486354110275,0.5640614278015862,0.18245697213007275,0.12207240635810013,0.039831486354110275,0.16458380229158856,0.23811048777249935,0.07619967177009204,0.19250728828473818,0.2716913352603296,0.0,0.06887208204612957,0.21965174589437877,0.17098664328008795,0.10690257239654881,0.0,0.1730862609477018,0.11150255024527299,0.17998481245876535,0.06580249553355175,0.16806414474694012,0.2064523660576747,0.11686958282452853,0.039831486354110275,0.0,0.2786468765044121,0.0,0.1172288681405707,0.039831486354110275,0.0,0.039831486354110275,0.039831486354110275,0.11426450927683318,0.05251226357007109,0.0,0.10664816219499726,0.47009933195226555,0.03428859711075097,0.17511080223545705,0.2348157047758047,0.1677825932305666,0.23360385800633707,0.05251226357007109,0.1606167745584013,0.23270662118978092
SEQUENTIALITY,0.0062063615205585725,0.0,4.655835722512191e-05,0.002380952380952381,0.10964234049982541,0.08178391232213819,0.0048607526453781375,0.9358024691358025,0.49622992683623807,0.2581888246628131,0.9411764705882353,0.7419601930769512,0.0,0.9697053153401267,5.223510777811802e-08,0.3632867571039193,0.09302781041911477,0.0,0.09486834275853522,0.9160256918563159,0.0,0.0,0.9918859920030074,0.05363028383091741,0.08818958818958819,0.0,0.8957882212968471,0.4477619772262161,0.10939365126158039,0.2891566265060241,0.2497255093326827,0.43872866494624513,0.6431637032495402,4.873442782735829e-05,0.0,0.9999075775602028,0.0,0.7759372275501307,0.0009754313235383771,0.0,0.6860613810741688,4.357459862347843e-06,4.780384096345168e-06,0.0009146062620042072,0.0,0.0,0.6586624703873742,0.14814814814814814,0.14000821449865186,0.07888500388500388,0.21587303533448643,0.078125,0.00011442651338599496,0.6631016042780749,0.6752596652885345
SCALE,0.35201920944902737,0.2523643587648374,0.4021261195741588,0.2523643587648374,0.4021261195741588,0.4021261195741588,0.7034753855262432,0.2032230546469522,0.4021261195741588,0.183096791194447,0.5527466180903291,0.6532295139211791,0.4021261195741588,0.2523643587648374,0.7034753855262432,0.2523643587648374,0.3020526508969184,0.4021261195741588,0.2523643587648374,0.35201920944902737,0.4021261195741588,0.2523643587648374,0.4523035133081411,0.4106488223386021,0.183096791194447,0.2523643587648374,0.5025162262108296,0.15513909158966466,0.7537223632055859,0.06642435369509693,0.5025162262108296,0.6029858543127907,0.2523643587648374,0.7034753855262432,0.4523035133081411,0.2523643587648374,0.3020526508969184,0.0,0.6029858543127907,0.4523035133081411,0.0,0.8542177012093333,0.6281076841169849,0.6029858543127907,0.7537223632055859,0.4021261195741588,0.5527466180903291,0.1090345733214175,0.7034753855262432,0.15513909158966466,0.6029858543127907,0.15513909158966466,0.7537223632055859,0.06642435369509693,0.829093797575194
count,0.2255672666960624,0.1573864129041066,0.09800213641705517,0.0689981532353435,0.05376096112938607,0.04228925020616978,0.03877283318789216,0.03542061402618679,0.033660560597311213,0.030389517904023586,0.026777165059434088,0.02363526674772014,0.022030186576732978,0.021133555584664288,0.020803314951783024,0.019308929965001873,0.0182665503137286,0.014288903361259268,0.00805860941019761,0.0072081014115480905,0.006023662940543771,0.0058410158866038535,0.004062513260360608,0.0034094116735451426,0.0025496790762117895,0.0020866042222833095,0.0017305347130873072,0.0013615507657339368,0.0009316844670672602,0.0008984759118054569,0.0008080748447038812,0.000736122974969974,0.0005756149578712578,0.0005294919644520865,0.0004999732486638169,0.0004962834091902831,0.0004317112184034434,0.00031732619472389856,0.00023614972630615704,0.00022323528814878908,0.00010700534473247741,8.85561473648089e-05,7.379678947067408e-05,5.719251183977241e-05,4.796791315593815e-05,2.951871578826963e-05,1.2914438157367964e-05,1.2914438157367964e-05,1.1069518420601112e-05,1.1069518420601112e-05,1.1069518420601112e-05,9.22459868383426e-06,9.22459868383426e-06,7.3796789470674075e-06,3.6898394735337038e-06
