original,new
TOTAL_CP_SIZE_WRITE_AGG_1M_4M,TOTAL_MPIIO_SIZE_WRITE_AGG_1M_4M
TOTAL_CP_SIZE_WRITE_AGG_4M_10M,TOTAL_MPIIO_SIZE_WRITE_AGG_4M_10M
TOTAL_CP_SIZE_WRITE_AGG_10M_100M,TOTAL_MPIIO_SIZE_WRITE_AGG_10M_100M
TOTAL_CP_SIZE_WRITE_AGG_100M_1G,TOTAL_MPIIO_SIZE_WRITE_AGG_100M_1G
TOTAL_CP_SIZE_WRITE_AGG_1G_PLUS,TOTAL_MPIIO_SIZE_WRITE_AGG_1G_PLUS
TOTAL_CP_F_MPI_READ_TIME,TOTAL_MPIIO_F_READ_TIME
TOTAL_CP_F_MPI_WRITE_TIME,TOTAL_MPIIO_F_WRITE_TIME
TOTAL_CP_F_MPI_META_TIME,TOTAL_MPIIO_F_META_TIME
TOTAL_CP_HINTS,TOTAL_MPIIO_HINTS
TOTAL_CP_VIEWS,TOTAL_MPIIO_VIEWS
TOTAL_CP_INDEP_OPENS,TOTAL_MPIIO_INDEP_OPENS
TOTAL_CP_COLL_OPENS,TOTAL_MPIIO_COLL_OPENS
TOTAL_CP_INDEP_READS,TOTAL_MPIIO_INDEP_READS
TOTAL_CP_COLL_READS,TOTAL_MPIIO_COLL_READS
TOTAL_CP_SPLIT_READS,TOTAL_MPIIO_SPLIT_READS
TOTAL_CP_NB_READS,TOTAL_MPIIO_NB_READS
TOTAL_CP_INDEP_WRITES,TOTAL_MPIIO_INDEP_WRITES
TOTAL_CP_COLL_WRITES,TOTAL_MPIIO_COLL_WRITES
TOTAL_CP_SPLIT_WRITES,TOTAL_MPIIO_SPLIT_WRITES
TOTAL_CP_NB_WRITES,TOTAL_MPIIO_NB_WRITES
MACHINE_NAME,MACHINE_NAME
COBALT_JOBID,COBALT_JOBID
RUN_DATE_ID,RUN_DATE_ID
EXE_NAME_GENID,EXE_NAME_GENID
START_TIME,START_TIME
END_TIME,END_TIME
RUN_TIME,RUN_TIME
NPROCS,NPROCS
DARSHAN_LOG_VERSION,DARSHAN_LOG_VERSION
DARSHAN_LIB_VERSION,DARSHAN_LIB_VERSION
