,0
TOTAL_POSIX_BYTES_READ,0.0
TOTAL_POSIX_BYTES_WRITTEN,118111600640.0
TOTAL_STDIO_BYTES_READ,0.0
TOTAL_STDIO_BYTES_WRITTEN,120.0
TOTAL_MPIIO_BYTES_READ,0.0
TOTAL_MPIIO_BYTES_WRITTEN,0.0
INTERFACE,4.0
TOTAL_IO_MB,112640.00011444092
READ_OP_FRAC,0.0
WRITE_OP_FRAC,1.0
SEQUENTIAL_READ_FRAC,
SEQUENTIAL_WRITE_FRAC,1.7
SEQUENTIAL_IO_FRAC,1.7
MIXEDNESS,0.0
READ_TIME_FRAC,
WRITE_TIME_FRAC,
METADATA_TIME_FRAC,
